,user_location,user_description,date,text,hashtags,source
23,,,2023-01-09 13:21:09+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for iPhone
24,,"Professora 
Esquerdista 
Aprendendo permanentemente.
🌟
Esporte Clube Vitória ❤️🖤",2023-01-09 13:21:08+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for Android
25,Home🏠,"😑especialista em esquecer
(ela/dela)",2023-01-09 13:20:51+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for Android
26, 𝗠𝗔𝗥𝗩𝗘𝗟  ☆  𝗦!𝗛𝗘𝗥 ,☹︎/☻︎ 𝗥𝗔𝗣 𝗟𝗜𝗡𝗘 ❕,2023-01-09 13:20:50+00:00,"RT @choquei: 🚨BRASIL: No momento do discurso do presidente Lula, terroristas comemoram o decreto de intervenção federal, confundindo com in…",,Twitter for Android
27,,🇧🇷 Nacional-liberal 🇧🇷,2023-01-09 13:20:45+00:00,"RT @NoticiaeGuerra: 🇩🇪🇧🇷 Olaf Scholz condena manifestações violentas no Brasil

O chanceler alemão Olaf Scholz chamou os acontecimentos na…",,Twitter for Android
28,,"MENTALMENTE INSTÁVEL ✨
NEOQEAV💚",2023-01-09 13:20:44+00:00,"RT @ellieroze_: @LukazdeFreita @frederico2105 @nandaxxie isso não é mais sobre bolsonaro ou lula, os caras danificaram e roubaram objetos h…",,Twitter for Android
29,"Rio de Janeiro, Brasil","Eu toquei nas estrelas e vi a gloriosa luz de mil sóis. Agora, cegado por tal elegância, que escolha tenho senão buscar a escuridão.",2023-01-09 13:20:37+00:00,"RT @twittess: Bom, fica aí à Lula o job de refazer a bandeira do Brasil. Pq infelizmente a canarinho não vai ter mais jeito.",,Twitter for Android
30,,"Cristão, Patriota, Anti-Petista e qualquer partido de esquerda .",2023-01-09 13:20:30+00:00,"RT @thiagomartinba: Lula liberou as importações de produtos chineses, desindustrializando o Brasil, será a falência da indústria nacional,…",,Twitter for Android
31,,,2023-01-09 13:20:22+00:00,"RT @fernandomendorj: Brasília mostra CIRO ACERTOU
""Brasil vai amanhecer em guerra caso Lula seja eleito"" - Ciro Gomes. https://t.co/ADkOOHH…",,Twitter Web App
32,,,2023-01-09 13:20:16+00:00,RT @cylene_d: Cirista está colocando a culpa na vítima. O Brasil está sendo estuprado e a culpa é do governo que ganhou a eleição democrati…,,Twitter Web App
33,,,2023-01-09 13:19:56+00:00,"RT @iluansilvaa: Tudo o que o lula faz está certo? Ele não tem moral alguma pra ser presidente do Brasil, é simples, se retire e vá embora…",,Twitter Web App
34,SÃO PAULO SP,por isso sou o que sou,2023-01-09 13:19:52+00:00,"RT @DalvaHellmeist1: Pra quem falou q nunca teve isso no Brasil, olha aí a INVASÃO do congresso na época do lula. Vamos compartilhar esse v…",,Twitter for Android
35,,"rihanna cadê o bebê? att: ele apareceu 🥺🥺
fan account",2023-01-09 13:19:45+00:00,RT @safbf: Existe uma diferença crucial entre a invasão do Capitólio em 6 de janeiro nos EUA e a invasão da sede dos 3 poderes hoje em Bras…,,Twitter for Android
36,,,2023-01-09 13:19:44+00:00,RT @guinasouza_: O PRESIDENTE DOS ESTADOS UNIDOS fez uma publicação agora dizendo apoiar a democracia e a Lula. Vai nesse post do president…,,Twitter for iPhone
37,Brazil,"🚩#Lula2022🚩 Antifascista, antirracista e democrata por natureza. Ativista da resistência ao desgoverno genocida, miliciano, golpista e ladrão.",2023-01-09 13:19:39+00:00,RT @Terra: Maiores jornais do mundo apontaram relação de grupos extremistas com o ex-presidente Jair Bolsonaro e destacaram pronunciamento…,,Twitter for Android
38,,"Cubana de ❤️, fiel a las ideas de Martí y Fidel. Orgullosa de mi país y mi revolución.",2023-01-09 13:19:37+00:00,"RT @RafeFerrazo: NADA VA A IMPEDIR QUE SIGAMOS ADELANTE!!
   Lula.
Presidente d Brasil. 

#NoAlGolpeEnBrasil  #LulaPresidente2022 #UnidosVe…","['NoAlGolpeEnBrasil', 'LulaPresidente2022']",Twitter for Android
39,"Rio de Janeiro, Brasil","🇧🇷O esforço em se manter pensando, é real.🇧🇷🇺🇸🇦🇷⚜
Seguindo à DIREITA: Família, Propriedade privada, Liberdades, Capitalismo, Livre Comércio.",2023-01-09 13:19:36+00:00,RT @lordivan22: Brasil 🇧🇷/Rússia 🇷🇺: O Kremlin condena motins no Brasil e diz que “apoia totalmente” o presidente Lula.,,Twitter for Android
40,"São Paulo, Brasil","Engenheiro aposentado, Palmeiras, Carros, Rock, Direita Bolsonaro 🇧🇷, Fanático pelo Palmeiras 🐷",2023-01-09 13:19:36+00:00,RT @helenklebis: @bernardokuster2 Preparem-se que vão bloquear as imagens daqui pra frente. Ninguém vai ter como saber o que está acontecen…,,Twitter for Android
41,,,2023-01-09 13:19:35+00:00,RT @RenatoC01190711: @aminkhader @wluis_adv O GOVERNO LULADRÃO QUER DAR O GOLPE PARA INSTITUIR NO BRASIL A DITADURA SOCIALISTA DE EXTREMA E…,,Twitter for iPhone
