,user_location,user_description,date,text,hashtags,source
2124,,,2023-01-09 12:59:26+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2125,134340🪐 tdah 😺,"only bangtan, futura prof de história e arte  bookstan NÃO, eu sou leitora 📚",2023-01-09 12:59:26+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for iPhone
2126,Brasil,Empresário/ Consultor / Master Coach e Vovô !!!CHEGA DE ESQUERDOPATIA ! DEMOCRACIA DE VERDADE SEMPRE !,2023-01-09 12:59:17+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for iPhone
2127,,,2023-01-09 12:59:13+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for iPhone
2128,São Paulo - Brasil,I will not feel ashamed of all my lies 'cause I know you changed the color of your eyes.,2023-01-09 12:59:12+00:00,"RT @FelipePLoureiro: 3/ Se há uma linha demarcatória fundamental entre o fascismo e outros movimentos da direita autoritária, essa linha é…",,Tweecha2 for Android
2129,,,2023-01-09 12:59:11+00:00,"RT @FelipePLoureiro: 3/ Se há uma linha demarcatória fundamental entre o fascismo e outros movimentos da direita autoritária, essa linha é…",,Twitter Web App
2130,,,2023-01-09 12:59:09+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2131,,,2023-01-09 12:59:06+00:00,RT @GeneralGirao: Sempre continuarei sendo defensor da minha Pátria. A violência ocorrida hoje em Brasília não tem o meu apoio. Os manifest…,,Twitter for Android
2132,Campos dos Goytacazes,Posicionamento político: À esquerda dos ancaps e à direita do pessoal que fala que a Tabata Amaral é ultraliberal tecnicista de direita.,2023-01-09 12:59:01+00:00,RT @uneoficial: Quando estudantes vão para as ruas para protestar são tratados como bandidos e recebidos com muita violência. Com os terror…,,Twitter for Android
2133,"Santa Maria de Jetibá, Brasil",Professor 🇧🇷🇧🇷🇧🇷🇧🇷,2023-01-09 12:58:58+00:00,"RT @Maubmarcon: O “Bessias” (aquele mesmo da Dilma) que agora comanda a AGU pediu e Alexandre de Moraes atendeu.
Ibaneis Rocha (MDB) govern…",,Twitter for Android
