,user_location,user_description,date,text,hashtags,source
26,Estados Unidos,,2023-01-09 13:51:36+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
27,,"🇧🇷🇧🇷🇳🇬🇳🇬 BRASIL E PALMEIRAS ACIMA DE TUDO, DEUS ACIMA DE TODOS 
🇳🇬🇳🇬🇧🇷🇧🇷",2023-01-09 13:51:16+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
28,,,2023-01-09 13:51:11+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
29,"Alagoas, Brasil","🇧🇷🇧🇷
Brasil Amado",2023-01-09 13:51:09+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
30,"Jaboatão dos Guararapes, Brasi",,2023-01-09 13:50:47+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
31,,"Pela liberdade,respeito e ordem ,por isso antipetista e seus vassalos! Sem paciência com esquerdistas.RT não é necessariamente endosso!",2023-01-09 13:50:44+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
32,,"Uma simples professora, formada em 1964, que preferiu escolher lápis e papel, para ajudar o Brasil. Casada.4 filhas, 6 netos e 2 bisnetos.",2023-01-09 13:50:42+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
33,"Chapadinha, Brasil","Art. 5º CF. Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País.",2023-01-09 13:50:20+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
34,,,2023-01-09 13:50:12+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
35,,"Psicólogo, PhD Análise Cognitiva UFBA, Professor, Conservador 👉🏻

(Os fatos não se importam com seus sentimentos.) 🇧🇷🇦🇷🇺🇸🇲🇽🇧🇿🇭🇳🇵🇵🇹",2023-01-09 13:49:45+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
36,,"Direita, Liberdade de expressão!",2023-01-09 13:49:36+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
37,,"(3ª conta). 22🇧🇷 Patriota, cinéfila, vinho e Jazz.",2023-01-09 13:49:34+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
38,"Nova Jérsia, USA","Ativista político. 

https://t.co/GZPtB5Xy2n.🇧🇷🇧🇷🇧🇷🇧🇷🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲🇧22",2023-01-09 13:49:06+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
39,"São Paulo, Brasil","Cristão, Casado.
https://t.co/YlEAnvhyXx",2023-01-09 13:48:53+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
40,,*Conservador *Armamentista *Contra o aborto *Pró-família *Direitista and Bolsonarista. 🇧🇷,2023-01-09 13:48:29+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
41,"Goiânia, Brasil","Comerciante, especialista em Segurança da informação, pai, marido e Brasileiro acima de tudo!",2023-01-09 13:48:27+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
42,,,2023-01-09 13:48:26+00:00,"RT @Contrassenso1: LULADRÃO DISSE QUE O PT ''NUNCA FEZ O VANDALISMO QUE OS PATRIOTAS FIZERAM'',MAS SILAS MALAFAIA DESMENTE O PORCO LAVADO P…",,Twitter for Android
43,"Recife, Brasil",Ser humano,2023-01-09 13:48:22+00:00,"RT @WilsonR41272232: A coisa está ficando complicada, e pode sair de controle.
Tudo começou quando STF libertou um condenado por corrupção…",,Twitter for Android
44,,,2023-01-09 13:48:15+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
45,,Nem só de pão viverá o homem mais de toda palavra que sai da boca Deus🙏 Instagram: @neiafernandes7,2023-01-09 13:48:06+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for iPhone
46,,,2023-01-09 13:48:04+00:00,RT @palomadaniellyf: 🚨 URGENTE 🚨 STF E PT REUNIÃO DE EMERGÊNCIA PARA SABER O QUE FARÃO... https://t.co/4uTOW4PdER,,Twitter for Android
47,,,2023-01-09 13:48:01+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
48,"Belo Horizonte, Brasil","Sincera, transparente. Adoro família e amigos. Sem liberdade não somos ninguém. 
Brasileira com orgulho.",2023-01-09 13:47:35+00:00,"RT @VILMARBRUNO4: Quem depredou o STF e o Congresso, foi o PT ou povo de bem? https://t.co/MdhMIUFA83",,Twitter for Android
49,Estados Unidos,Brasileiro de senso comum.,2023-01-09 13:47:28+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter Web App
50,,,2023-01-09 13:47:21+00:00,"RT @Contrassenso1: LULADRÃO DISSE QUE O PT ''NUNCA FEZ O VANDALISMO QUE OS PATRIOTAS FIZERAM'',MAS SILAS MALAFAIA DESMENTE O PORCO LAVADO P…",,Twitter for Android
51,"Belo Horizonte, Brasil","Sincera, transparente. Adoro família e amigos. Sem liberdade não somos ninguém. 
Brasileira com orgulho.",2023-01-09 13:47:15+00:00,RT @ElisePistola: @IbaneisOficial Boa noite sr @IbaneisOficial o sr já viu esse vídeo e a Bandeira do PT sendo empunhada nas mãos do grupo…,,Twitter for Android
52,,"(João 8.32)
Sou cristã
Sou patriota 
Sou brasileira
Brasil acima de tudo e Deus acima de todos.",2023-01-09 13:46:58+00:00,RT @taoquei1: Ministros do STF agora com membros do PT discutindo a melhor saída para o Brasil perante a situação de hoje. E aí? O que vc a…,,Twitter for Android
