Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 5 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 72
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 72
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 72
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 6 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 77
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 4 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 83
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 77
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:13 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Collaborative Processor Performance Control
Nominal Frequency (MHz): 1800
Maximum performance percentage: 216
Minimum performance percentage: 22
Minimum throttle percentage: 5"
Information,12/29/2022 4:13:12 PM,Microsoft-Windows-Kernel-General,24,(11),The time zone information was refreshed with exit reason 0. Current time zone bias is 180.
Information,12/29/2022 4:13:12 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{dcb0a130-2ef2-4533-af70-6eb186e56948} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Warning,12/29/2022 4:13:12 PM,Microsoft-Windows-Kernel-PnP,219,(212),The driver \Driver\WUDFRd failed to load for the device PCI\VEN_8086&DEV_1903&SUBSYS_08C81028&REV_0C\3&11583659&0&20.
